Year,Model,Region,Units_Sold,Average_Price_USD,Revenue_USD,Estimated_Market_Share_Pct,Competition_Index_100,Average_Delivery_Days,Customer_Satisfaction_5
2022,Model S,North America,50052,85128.13,4260833162.76,5.14,88.85,29,4.02
2022,Model S,Europe,43920,87206.1,3830091912.0,5.8,89.15,30,4.3
2022,Model S,Asia-Pacific,46555,92624.13,4312116372.15,6.39,93.32,29,4.17
2022,Model S,Middle East & Africa,21738,91290.99,1984483540.62,5.99,87.03,20,4.64
2022,Model S,Latin America,13075,88251.44,1153887578.0,6.53,87.0,35,4.27
2022,Model X,North America,47633,93935.6,4474434434.8,4.59,97.83,12,4.05
2022,Model X,Europe,38725,88185.88,3414998203.0,4.8,87.74,25,4.0
2022,Model X,Asia-Pacific,39712,97960.23,3890196653.76,4.93,95.35,35,4.04
2022,Model X,Middle East & Africa,17252,94550.14,1631179015.28,5.74,89.65,22,4.17
2022,Model X,Latin America,10808,92037.55,994741840.4,5.23,82.93,38,4.21
2022,Cybertruck,North America,29279,70344.8,2059625399.2,2.87,95.34,25,4.09
2022,Cybertruck,Europe,24275,71969.87,1747068594.25,2.85,84.86,35,4.25
2022,Cybertruck,Asia-Pacific,31272,76685.84,2398119588.48,3.46,93.43,34,4.01
2022,Cybertruck,Middle East & Africa,12409,74378.2,922959083.8,3.91,96.69,24,4.09
2022,Cybertruck,Latin America,7366,73942.47,544660234.02,3.11,90.39,32,4.02
2023,Model 3,North America,252032,41137.16,10367880709.12,24.7,66.68,16,4.37
2023,Model 3,Europe,203452,38605.43,7854351944.36,31.21,45.0,37,4.36
2023,Model 3,Asia-Pacific,229876,41627.33,9569124111.08,30.08,45.0,48,4.13
2023,Model 3,Middle East & Africa,105433,42356.33,4465754940.89,35.0,45.0,31,4.39
2023,Model 3,Latin America,70423,39181.61,2759286521.03,27.81,51.89,41,4.41
2023,Model Y,North America,347495,46763.47,16250072007.65,34.18,45.0,32,4.42
2023,Model Y,Europe,283387,48634.24,13782311370.88,35.0,45.0,36,4.45
2023,Model Y,Asia-Pacific,289723,48282.8,13988637664.4,32.57,46.58,29,4.78
2023,Model Y,Middle East & Africa,109312,50825.52,5555839242.24,32.33,45.38,29,4.31
2023,Model Y,Latin America,86101,49243.26,4239893929.26,35.0,45.0,31,4.43
2023,Model S,North America,68288,87650.54,5985480075.52,8.56,82.64,32,4.04
2023,Model S,Europe,59019,82413.29,4863949962.51,7.96,82.4,32,4.29
2023,Model S,Asia-Pacific,58751,90665.49,5326688202.99,6.16,94.06,25,4.13
2023,Model S,Middle East & Africa,25170,89605.1,2255360367.0,8.11,83.19,32,4.57
2023,Model S,Latin America,14981,85683.51,1283624663.31,6.18,89.56,35,4.05
2023,Model X,North America,62067,88316.76,5481556342.92,7.07,77.98,48,4.24
2023,Model X,Europe,41637,96264.95,4008183723.15,6.28,95.82,33,4.25
2023,Model X,Asia-Pacific,47266,92993.6,4395435497.6,5.89,91.17,41,4.12
2023,Model X,Middle East & Africa,22282,96855.94,2158144055.08,6.74,98.0,33,4.11
2023,Model X,Latin America,12920,95498.95,1233846434.0,4.98,90.5,20,3.9
2023,Cybertruck,North America,37206,76415.34,2843109140.04,3.91,98.0,22,3.92
2023,Cybertruck,Europe,30621,69614.68,2131671116.28,3.6,92.48,12,4.18
2023,Cybertruck,Asia-Pacific,37303,71548.7,2668981156.1,4.61,87.63,33,4.05
2023,Cybertruck,Middle East & Africa,14858,72769.16,1081204179.28,4.72,90.85,29,4.19
2023,Cybertruck,Latin America,8234,76225.01,627636732.34,3.43,98.0,20,4.43
2024,Model 3,North America,292778,39632.35,11603480168.3,33.08,45.0,24,4.41
2024,Model 3,Europe,271142,42257.24,11457712568.08,34.25,45.0,16,4.43
2024,Model 3,Asia-Pacific,250691,41149.52,10315814318.32,31.78,45.0,33,4.26
2024,Model 3,Middle East & Africa,94595,38204.5,3613954677.5,32.02,45.0,19,4.41
2024,Model 3,Latin America,66886,41179.82,2754353440.52,34.53,45.0,24,4.7
2024,Model Y,North America,377644,46059.56,17394116476.64,35.0,45.0,41,4.28
2024,Model Y,Europe,296116,48267.39,14292746457.24,35.0,45.0,17,4.82
2024,Model Y,Asia-Pacific,338132,47384.01,16022050069.32,35.0,45.0,27,4.44
2024,Model Y,Middle East & Africa,115703,46424.52,5371456237.56,35.0,45.0,16,4.63
2024,Model Y,Latin America,79579,49669.15,3952621287.85,35.0,45.0,28,4.21
2024,Model S,North America,75215,87511.75,6582196276.25,9.25,85.56,29,4.42
2024,Model S,Europe,63875,87652.19,5598783636.25,7.51,85.85,33,4.29
2024,Model S,Asia-Pacific,60883,82508.05,5023337608.15,7.91,76.28,28,4.09
2024,Model S,Middle East & Africa,25096,84808.19,2128346336.24,7.18,92.44,20,4.33
2024,Model S,Latin America,17718,87638.1,1552771855.8,9.37,76.12,20,4.37
2024,Model X,North America,55645,88136.77,4904370566.65,6.36,88.53,22,3.91
2024,Model X,Europe,56092,86442.04,4848706907.68,6.35,92.52,27,4.53
2024,Model X,Asia-Pacific,60292,90015.47,5427212717.24,6.65,90.03,31,4.02
2024,Model X,Middle East & Africa,23061,89211.42,2057304556.62,6.13,92.68,26,4.32
2024,Model X,Latin America,13911,91181.18,1268421394.98,7.22,90.27,32,4.45
2024,Cybertruck,North America,44707,69473.4,3105947293.8,4.93,95.37,30,4.24
2024,Cybertruck,Europe,31994,72208.99,2310254426.06,4.8,93.15,25,4.4
2024,Cybertruck,Asia-Pacific,41088,70070.17,2879043144.96,5.49,89.8,28,4.12
2024,Cybertruck,Middle East & Africa,13888,68363.77,949436037.76,3.67,89.22,37,4.14
2024,Cybertruck,Latin America,9461,71964.43,680855472.23,4.79,91.92,35,3.93
2025,Model 3,North America,363847,40028.91,14564398816.77,35.0,45.0,27,4.72
2025,Model 3,Europe,273136,39384.66,10757368493.76,35.0,45.0,23,4.76
2025,Model 3,Asia-Pacific,300578,40605.57,12205141019.46,33.04,45.0,21,4.3
2025,Model 3,Middle East & Africa,112216,37310.62,4186848533.92,28.98,45.0,27,4.48
2025,Model 3,Latin America,77701,40331.1,3133766801.1,32.49,45.0,20,4.89
2025,Model Y,North America,374476,49770.19,18637741670.44,35.0,45.0,28,4.59
2025,Model Y,Europe,350720,47071.56,16508937523.2,35.0,45.0,22,4.6
2025,Model Y,Asia-Pacific,360971,44506.23,16065458349.33,35.0,45.0,38,4.4
2025,Model Y,Middle East & Africa,153413,45047.97,6910944221.61,35.0,45.0,21,4.9
2025,Model Y,Latin America,99557,44695.99,4449798676.43,35.0,45.0,22,4.43
2025,Model S,North America,91017,89225.77,8121061908.09,11.3,81.83,36,4.11
2025,Model S,Europe,68394,83307.53,5697735206.82,8.3,85.48,27,4.56
2025,Model S,Asia-Pacific,68889,81759.3,5632316417.7,8.8,70.24,20,4.46
2025,Model S,Middle East & Africa,28875,86407.22,2495008477.5,9.08,85.03,32,4.18
2025,Model S,Latin America,21406,86208.6,1845381291.6,11.03,81.77,33,4.35
2025,Model X,North America,73339,90571.04,6642389502.56,8.81,87.57,26,4.26
2025,Model X,Europe,56715,91909.43,5212643322.45,6.63,89.74,30,4.18
2025,Model X,Asia-Pacific,61370,90552.99,5557236996.3,8.57,84.59,16,4.37
2025,Model X,Middle East & Africa,26122,89728.48,2343887354.56,8.79,85.24,24,4.33
2025,Model X,Latin America,16232,90721.18,1472586193.76,8.57,84.77,23,4.27
2025,Cybertruck,North America,44041,72261.14,3182452866.74,4.17,85.25,35,4.11
2025,Cybertruck,Europe,42314,74505.72,3152635036.08,6.45,88.9,23,4.28
2025,Cybertruck,Asia-Pacific,45187,66478.01,3003941837.87,4.57,91.25,12,4.33
2025,Cybertruck,Middle East & Africa,16434,68584.88,1127123917.92,5.89,93.72,15,3.81
2025,Cybertruck,Latin America,10204,72994.09,744831694.36,5.01,95.47,37,4.16
